filename	sample_id	age	sample	batch	station	length	weight	gutted_weight	sex	maturity	geo_location
222.txt	222	2	y2s24	2	108	42.5	754	664	M	b	L
223F.txt	223	1	y1s12	1	108	25.5	136	122	F	a	L
225.txt	225	2	y2s25	2	108	43.5	840	730	F	a	L
228F.txt	228	1	y1s13	1	108	25.5	148	136	M	a	L
238F.txt	238	4	y4s2	1	108	50.5	1230	1004	M	a	L
242F.txt	242	0	y0s3	1	109	8.5	4	NA	NA	NA	L
247F.txt	247	4	y4s3	1	109	70.5	3500	3018	F	b	L
248F.txt	248	6	y6s1	1	109	91.5	7100	5920	M	b	L
249F.txt	249	5	y5s3	1	109	81.5	5294	4580	M	b	L
250F.txt	250	6	y6s2	1	109	98.5	8140	7160	F	b	L
255.txt	255	4	y4s10	2	109	66.5	2682	2412	F	b	L
257.txt	257	4	y4s11	2	109	69.5	3146	2718	F	b	L
258.txt	258	4	y4s12	2	109	80.5	4288	3748	F	b	L
261.txt	261	4	y4s13	2	109	66.5	3078	2770	M	b	L
264.txt	264	4	y4s14	2	109	68.5	3440	2916	M	b	L
275.txt	275	0	y0s8	2	110	10.5	8	NA	NA	NA	L
